TTID,Test Name,SCID,SC Name,FPCID,FPC Name
5.B,2.4.6-label-descriptive,2.4.6,Headings and Labels,302.1,Without Vision
5.B,2.4.6-label-descriptive,2.4.6,Headings and Labels,302.2,With Limited Vision
5.B,2.4.6-label-descriptive,2.4.6,Headings and Labels,302.7,With Limited Manipulation
5.B,2.4.6-label-descriptive,2.4.6,Headings and Labels,302.9,"With Limited Language, Cognitive, and Learning Abilities"
10.A,2.4.6-heading-purpose,2.4.6,Headings and Labels,302.1,Without Vision
10.A,2.4.6-heading-purpose,2.4.6,Headings and Labels,302.2,With Limited Vision
10.A,2.4.6-heading-purpose,2.4.6,Headings and Labels,302.9,"With Limited Language, Cognitive, and Learning Abilities"
4.D,2.4.7-focus-visible,2.4.7,Focus Visible,302.2,With Limited Vision
4.D,2.4.7-focus-visible,2.4.7,Focus Visible,302.7,With Limited Manipulation
4.D,2.4.7-focus-visible,2.4.7,Focus Visible,302.9,"With Limited Language, Cognitive, and Learning Abilities"
11.A,3.1.1-page-language-defined,3.1.1,Language of Page,302.1,Without Vision
11.A,3.1.1-page-language-defined,3.1.1,Language of Page,302.2,With Limited Vision
11.A,3.1.1-page-language-defined,3.1.1,Language of Page,302.4,Without Hearing
11.A,3.1.1-page-language-defined,3.1.1,Language of Page,302.5,With Limited Hearing
11.A,3.1.1-page-language-defined,3.1.1,Language of Page,302.9,"With Limited Language, Cognitive, and Learning Abilities"
11.B,3.1.2-part-language-defined,3.1.2,Language of Parts,302.1,Without Vision
11.B,3.1.2-part-language-defined,3.1.2,Language of Parts,302.2,With Limited Vision
11.B,3.1.2-part-language-defined,3.1.2,Language of Parts,302.4,Without Hearing
11.B,3.1.2-part-language-defined,3.1.2,Language of Parts,302.5,With Limited Hearing
11.B,3.1.2-part-language-defined,3.1.2,Language of Parts,302.9,"With Limited Language, Cognitive, and Learning Abilities"
4.E,3.2.1-on-focus,3.2.1,On Focus,302.1,Without Vision
4.E,3.2.1-on-focus,3.2.1,On Focus,302.2,With Limited Vision
4.E,3.2.1-on-focus,3.2.1,On Focus,302.9,"With Limited Language, Cognitive, and Learning Abilities"
5.D,3.2.2-on-input,3.2.2,On Input,302.1,Without Vision
5.D,3.2.2-on-input,3.2.2,On Input,302.2,With Limited Vision
5.D,3.2.2-on-input,3.2.2,On Input,302.9,"With Limited Language, Cognitive, and Learning Abilities"
9.B,3.2.3-consistent- navigation,3.2.3,Consistent Navigation,302.1,Without Vision
9.B,3.2.3-consistent- navigation,3.2.3,Consistent Navigation,302.2,With Limited Vision
9.B,3.2.3-consistent- navigation,3.2.3,Consistent Navigation,302.9,"With Limited Language, Cognitive, and Learning Abilities"
9.C,3.2.4-consistent-identification,3.2.4,Consistent Identification,302.1,Without Vision
9.C,3.2.4-consistent-identification,3.2.4,Consistent Identification,302.2,With Limited Vision
9.C,3.2.4-consistent-identification,3.2.4,Consistent Identification,302.9,"With Limited Language, Cognitive, and Learning Abilities"
5.F,3.3.1-error-identification,3.3.1,Error Identification,302.1,Without Vision
5.F,3.3.1-error-identification,3.3.1,Error Identification,302.2,With Limited Vision
5.F,3.3.1-error-identification,3.3.1,Error Identification,302.3,Without Perception of Color
5.F,3.3.1-error-identification,3.3.1,Error Identification,302.9,"With Limited Language, Cognitive, and Learning Abilities"
5.A,3.3.2-label-provided,3.3.2,Labels or Instructions,302.1,Without Vision
5.A,3.3.2-label-provided,3.3.2,Labels or Instructions,302.2,With Limited Vision
5.A,3.3.2-label-provided,3.3.2,Labels or Instructions,302.9,"With Limited Language, Cognitive, and Learning Abilities"
5.G,3.3.3-error-suggestion,3.3.3,Error Suggestion,302.1,Without Vision
5.G,3.3.3-error-suggestion,3.3.3,Error Suggestion,302.2,With Limited Vision
5.G,3.3.3-error-suggestion,3.3.3,Error Suggestion,302.7,With Limited Manipulation
5.G,3.3.3-error-suggestion,3.3.3,Error Suggestion,302.9,"With Limited Language, Cognitive, and Learning Abilities"
5.H,3.3.4-error-prevention,3.3.4,"Error Prevention (Legal, Financial, Data)",302.1,Without Vision
5.H,3.3.4-error-prevention,3.3.4,"Error Prevention (Legal, Financial, Data)",302.2,With Limited Vision
5.H,3.3.4-error-prevention,3.3.4,"Error Prevention (Legal, Financial, Data)",302.7,With Limited Manipulation
5.H,3.3.4-error-prevention,3.3.4,"Error Prevention (Legal, Financial, Data)",302.9,"With Limited Language, Cognitive, and Learning Abilities"
20.A,4.1.1-parsing,4.1.1,Parsing,302.1,Without Vision
20.A,4.1.1-parsing,4.1.1,Parsing,302.2,With Limited Vision
20.A,4.1.1-parsing,4.1.1,Parsing,302.7,With Limited Manipulation
20.A,4.1.1-parsing,4.1.1,Parsing,302.9,"With Limited Language, Cognitive, and Learning Abilities"
2.D,4.1.2-change-notify-auto,4.1.2,"Name, Role, Value",302.1,Without Vision
2.D,4.1.2-change-notify-auto,4.1.2,"Name, Role, Value",302.2,With Limited Vision
2.D,4.1.2-change-notify-auto,4.1.2,"Name, Role, Value",302.9,"With Limited Language, Cognitive, and Learning Abilities"
5.C,1.3.1-programmatic-label,4.1.2,"Name, Role, Value",302.1,Without Vision
5.C,1.3.1-programmatic-label,4.1.2,"Name, Role, Value",302.2,With Limited Vision
5.C,1.3.1-programmatic-label,4.1.2,"Name, Role, Value",302.9,"With Limited Language, Cognitive, and Learning Abilities"
5.E,4.1.2-change-notify-form,4.1.2,"Name, Role, Value",302.1,Without Vision
5.E,4.1.2-change-notify-form,4.1.2,"Name, Role, Value",302.2,With Limited Vision
5.E,4.1.2-change-notify-form,4.1.2,"Name, Role, Value",302.9,"With Limited Language, Cognitive, and Learning Abilities"
6.A,2.4.4-link-purpose,4.1.2,"Name, Role, Value",302.1,Without Vision
6.A,2.4.4-link-purpose,4.1.2,"Name, Role, Value",302.2,With Limited Vision
6.A,2.4.4-link-purpose,4.1.2,"Name, Role, Value",302.7,With Limited Manipulation
6.A,2.4.4-link-purpose,4.1.2,"Name, Role, Value",302.9,"With Limited Language, Cognitive, and Learning Abilities"
6.B,4.1.2-change-notify-links,4.1.2,"Name, Role, Value",302.1,Without Vision
6.B,4.1.2-change-notify-links,4.1.2,"Name, Role, Value",302.2,With Limited Vision
6.B,4.1.2-change-notify-links,4.1.2,"Name, Role, Value",302.9,"With Limited Language, Cognitive, and Learning Abilities"
7.C,1.1.1- decorative-background-image,4.1.2,"Name, Role, Value",302.1,Without Vision
7.C,1.1.1- decorative-background-image,4.1.2,"Name, Role, Value",302.2,With Limited Vision
7.C,1.1.1- decorative-background-image,4.1.2,"Name, Role, Value",302.9,"With Limited Language, Cognitive, and Learning Abilities"
7.D,1.1.1-captcha-alternative,4.1.2,"Name, Role, Value",302.1,Without Vision
7.D,1.1.1-captcha-alternative,4.1.2,"Name, Role, Value",302.2,With Limited Vision
7.D,1.1.1-captcha-alternative,4.1.2,"Name, Role, Value",302.9,"With Limited Language, Cognitive, and Learning Abilities"
7.B,1.1.1-decorative-image,4.1.2,"Name, Role, Value",302.1,Without Vision
7.B,1.1.1-decorative-image,4.1.2,"Name, Role, Value",302.2,With Limited Vision
7.B,1.1.1-decorative-image,4.1.2,"Name, Role, Value",302.9,"With Limited Language, Cognitive, and Learning Abilities"
7.A,1.1.1-meaningful-image-name,4.1.2,"Name, Role, Value",302.1,Without Vision
7.A,1.1.1-meaningful-image-name,4.1.2,"Name, Role, Value",302.2,With Limited Vision
7.A,1.1.1-meaningful-image-name,4.1.2,"Name, Role, Value",302.9,"With Limited Language, Cognitive, and Learning Abilities"
12.C,4.1.2-frame-title,4.1.2,"Name, Role, Value",302.1,Without Vision
12.C,4.1.2-frame-title,4.1.2,"Name, Role, Value",302.2,With Limited Vision
12.C,4.1.2-frame-title,4.1.2,"Name, Role, Value",302.9,"With Limited Language, Cognitive, and Learning Abilities"
12.D,4.1.2-iframe-name,4.1.2,"Name, Role, Value",302.1,Without Vision
12.D,4.1.2-iframe-name,4.1.2,"Name, Role, Value",302.2,With Limited Vision
12.D,4.1.2-iframe-name,4.1.2,"Name, Role, Value",302.9,"With Limited Language, Cognitive, and Learning Abilities"
17.D,503.4-caption-description-controls,503.4,Caption and Audio Description Controls,302.4,Without Hearing
17.D,503.4-caption-description-controls,503.4,Caption and Audio Description Controls,302.5,With Limited Hearing
17.D,503.4-caption-description-controls,503.4,Caption and Audio Description Controls,302.7,With Limited Manipulation
17.D,503.4-caption-description-controls,503.4,Caption and Audio Description Controls,302.9,"With Limited Language, Cognitive, and Learning Abilities"
17.D,503.4-caption-description-controls,503.4,Caption and Audio Description Controls,302.1,Without Vision
17.D,503.4-caption-description-controls,503.4,Caption and Audio Description Controls,302.2,With Limited Vision
17.E,503.4.1-caption-control,503.4.1,Caption Controls,302.4,Without Hearing
17.E,503.4.1-caption-control,503.4.1,Caption Controls,302.5,With Limited Hearing
17.E,503.4.1-caption-control,503.4.1,Caption Controls,302.7,With Limited Manipulation
17.E,503.4.1-caption-control,503.4.1,Caption Controls,302.9,"With Limited Language, Cognitive, and Learning Abilities"
17.F,503.4.2-description-control,503.4.2,Audio Description Controls,302.1,Without Vision
17.F,503.4.2-description-control,503.4.2,Audio Description Controls,302.7,With Limited Manipulation
17.F,503.4.2-description-control,503.4.2,Audio Description Controls,302.2,With Limited Vision
17.F,503.4.2-description-control,503.4.2,Audio Description Controls,302.9,"With Limited Language, Cognitive, and Learning Abilities"
